Timestamp: 2024-05-08T18:30:54.089Z	LogLevel: Info/Debug	Message: Program Started
Timestamp: 2024-05-08T18:30:54.203Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.206Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.208Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.209Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.209Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.209Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.211Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.211Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.211Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.211Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.241Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.241Z	LogLevel: Debug	Message: Time taken to process order: 38ms
Timestamp: 2024-05-08T18:30:54.243Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.244Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.244Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.244Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.244Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.245Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.245Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.245Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.246Z	LogLevel: Debug	Message: Time taken to process order: 3ms
Timestamp: 2024-05-08T18:30:54.246Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.246Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.246Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.247Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.247Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.247Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.247Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.248Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.248Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.248Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.248Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-08T18:30:54.248Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.249Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.249Z	LogLevel: Info	Message: calculated discount: 0.07
Timestamp: 2024-05-08T18:30:54.249Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.249Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.249Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.249Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.250Z	LogLevel: Info	Message: calculated discount: 0.15
Timestamp: 2024-05-08T18:30:54.250Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.250Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.250Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.250Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-08T18:30:54.250Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.251Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.251Z	LogLevel: Info	Message: calculated discount: 0.07
Timestamp: 2024-05-08T18:30:54.251Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.252Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.252Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.252Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.253Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.253Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.253Z	LogLevel: Debug	Message: Time taken to process order: 3ms
Timestamp: 2024-05-08T18:30:54.254Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.254Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.254Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.255Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.255Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.255Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.256Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.256Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.256Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.257Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.257Z	LogLevel: Debug	Message: Time taken to process order: 3ms
Timestamp: 2024-05-08T18:30:54.257Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.257Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.258Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.258Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.258Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.258Z	LogLevel: Info	Message: calculated discount: 0.04
Timestamp: 2024-05-08T18:30:54.258Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.260Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.260Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.260Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.260Z	LogLevel: Debug	Message: Time taken to process order: 3ms
Timestamp: 2024-05-08T18:30:54.260Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.260Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.261Z	LogLevel: Info	Message: calculated discount: 0.1
Timestamp: 2024-05-08T18:30:54.261Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.261Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.261Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.262Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.262Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.262Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-08T18:30:54.262Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-08T18:30:54.262Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-08T18:30:54.262Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-08T18:30:54.263Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.263Z	LogLevel: Info	Message: calculated discount: 0.1
Timestamp: 2024-05-08T18:30:54.263Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.264Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-08T18:30:54.264Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.264Z	LogLevel: Info	Message: calculated discount: 0.13
Timestamp: 2024-05-08T18:30:54.264Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-08T18:30:54.265Z	LogLevel: Info	Message: calculated discount: 0.2
Timestamp: 2024-05-08T18:30:54.265Z	LogLevel: Info	Message: Successful qualification
