Timestamp: 2024-05-07T13:39:42.384Z	LogLevel: Info/Debug	Message: Program Started
Timestamp: 2024-05-07T13:39:42.595Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.597Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.598Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.598Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.598Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.598Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.599Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.599Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.599Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.599Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.619Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.619Z	LogLevel: Debug	Message: Time taken to process order: 24ms
Timestamp: 2024-05-07T13:39:42.620Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.620Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.620Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.620Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.620Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.620Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.621Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.622Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info	Message: calculated discount: 0.07
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.623Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Info	Message: calculated discount: 0.15
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.624Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.625Z	LogLevel: Info	Message: calculated discount: 0.07
Timestamp: 2024-05-07T13:39:42.625Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.625Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.625Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.625Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.626Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.627Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.627Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.627Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.627Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.627Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.628Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.628Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-07T13:39:42.628Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.628Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.628Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.628Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info	Message: calculated discount: 0.04
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.629Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: calculated discount: 0.1
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.630Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.631Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.631Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-07T13:39:42.631Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.631Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.631Z	LogLevel: Info	Message: calculated discount: 0.1
Timestamp: 2024-05-07T13:39:42.631Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.632Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.632Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.632Z	LogLevel: Info	Message: calculated discount: 0.13
Timestamp: 2024-05-07T13:39:42.632Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.633Z	LogLevel: Info	Message: calculated discount: 0.2
Timestamp: 2024-05-07T13:39:42.633Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.633Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.633Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.633Z	LogLevel: Debug	Message: Time taken to process order: 2ms
Timestamp: 2024-05-07T13:39:42.634Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.634Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.634Z	LogLevel: Info	Message: calculated discount: 0.1
Timestamp: 2024-05-07T13:39:42.634Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.634Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.635Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.635Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.635Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.635Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.635Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.635Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.636Z	LogLevel: Debug	Message: Time taken to process order: 0ms
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.637Z	LogLevel: Debug	Message: Time taken to process order: 0ms
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: calculated discount: 0.05
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: calculated discount: 0.11
Timestamp: 2024-05-07T13:39:42.638Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info	Message: calculated discount: 0.1
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.639Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Debug	Message: Time taken to process order: 1ms
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info/Debug	Message: Started processing an order
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info	Message: Successful qualification
Timestamp: 2024-05-07T13:39:42.640Z	LogLevel: Info	Message: calculated discount: 0.07
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Info	Message: Failed qualification
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Info/Debug	Message: Ended processing an order
Timestamp: 2024-05-07T13:39:42.641Z	LogLevel: Debug	Message: Time taken to process order: 1ms
